Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name: Value: Position);Available online only(0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories(x, y, z...)
15;1;The Hunger Games: Mockingjay - Part 2;Akcja, Science fiction ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_15;demo_15;;;;;;;;;;;;196;1;;0;both;;;;;"Katniss Everdeen i przywódcy Dystryktu 13 rozpoczynają wielką ofensywą przeciwko Kapitolowi. Walka toczy się już nie tylko o przetrwanie, ale o przyszłość całego narodu. Katniss wspierana przez Gale’a, Finnicka oraz Peetę planuje zamach na Prezydenta Snowa. Bezwzględni wrogowie i moralne wybory, przed którymi stanie Katniss, będą dla niej większym wyzwaniem niż cokolwiek, co wcześniej przeżyła na arenach Głodowych Igrzysk.
";;;;;the-hunger-games-mockingjay-part-2-2;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
16;1;X-Men: Mroczna Phoenix (DVD);Akcja, Science fiction ;29.99;;9.989999999999998;1;;0;2020-11-02;2020-11-07;demo_16;demo_16;;;;;;;;;;;;770;1;;0;both;;;;;Sophie Turner, James McAvoy, Michael Fassbender i Jennifer Lawrence przewodzą gwiazdorskiej obsadzie w tym pasjonującym, widowiskowym filmie stanowiącym swoisty punk kulminacyjny sagi o X-Menach. Podczas kosmicznej misji ratunkowej Jean Grey (Turner) przekształca się w nieskończenie potężną i niebezpieczną MROCZNĄ PHOENIX. Gdy Jane, a właściwie jej alter ego wymyka się spod kontroli, X-Meni muszą się zjednoczyć, by stawić czoła najgroźniejszemu wrogowi - obdarzonemu najbardziej niszczycielską siłą, jakiej świat dotąd nie widział -  jednemu z nich.;;;;;x-men-mroczna-phoenix-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
17;1;A Most Wanted Man;Akcja, Thriller ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_17;demo_17;;;;;;;;;;;;822;1;;0;both;;;;;"
Oparty na słynnym bestsellerze Johna le Carré thriller szpiegowski w reżyserii Antona Corbijna, twórcy „Control” oraz „Amerykanina”. Ostatnia wielka rola zdobywcy Oscara Philipa Seymoura Hoffmana („Capote”, „Igrzyska śmierci”). U jego boku: Rachel McAdams („Pamiętnik”), Willem Dafoe („Antychryst”) i Robin Wright („House of Cards”).Od ataku na World Trade Center minęło 10 lat. W Hamburgu, uważanym za jedną z głównych siedzib islamskich terrorystów, pojawia się młody, skrajnie wycieńczony Czeczen, Issa. Jego przyjazd natychmiast wzbudza niepokój kontrwywiadu. Tajemniczy mężczyzna rości sobie bowiem prawo do gigantycznej fortuny zdeponowanej przed laty w prywatnym banku. Wprowokacji przygotowanej przez służby nie tylko agenci będą mieli role do odegrania. Do rozgrywki przystąpi także młoda prawniczka Annabel i leciwy bankier, który jako jedyny ma dostęp do podejrzanego konta. Czy Issa jest ofiarą opresyjnego systemu, czy śmiertelnie groźnym terrorystą, którego kolejny ruch może okazać się tragiczny w skutkach? Rozpoczyna się niebezpieczna wywiadowcza gra, w której nikt nie ufa nikomu...
";;;;;a-most-wanted-man;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
18;1;Nice Guys. Równi goście (książka + płyta DVD);Akcja, Komedia, Thriller ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_18;demo_18;;;;;;;;;;;;51;1;;0;both;;;;;Nagrodzony Oscarem® Russell Crowe („Gladiator”) oraz nominowany do Oscara® Ryan Gosling („Szkolny chwyt”) w najnowszym filmie twórcy „Zabójczej broni” oraz „Iron Mana 3”. Pełna akcji komedia o dwóch facetach, których dzieli wszystko oprócz śledztwa w sprawie zaginionej dziewczyny, jakie przyszło im wspólnie prowadzić.Prywatny detektyw Holland March (Ryan Gosling) i gruboskórny mięśniak do wynajęcia Jackson Healy (Russell Crowe) nie pałają do siebie sympatią. Zostają jednak wynajęci do rozwikłania tej samej sprawy zaginionej dziewczyny. Zapewne każdy prowadziłby ją na własną rękę, gdyby obaj nie stali się celem wynajętych morderców. Niechętnie muszą połączyć siły, by rozwiązać sprawę i ocalić życie. Tym bardziej, że wkrótce odkryją, że wdepnęli w większe bagno niż sądzili. Zaginięcie dziewczyny jest jedynie szczytem góry lodowej w sprawie, której nie tknąłby nikt komu życie miłe. Historia staje się więc coraz bardziej dramatyczna, ale mimo zagrożenia Holland i Jackson skupiają się głównie na dogryzaniu sobie nawzajem.;;;;;nice-guys-rowni-goscie-ksiazka-plyta-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
19;1;Urge;Thriller ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_19;demo_19;;;;;;;;;;;;652;1;;0;both;;;;;Pierce Brosnan („Ocalona”, „November Man”), Danny Masterton („Różowe lata 70.”) i Justin Chatwin („Niewidzialny”, „Wojna światów”) w reżyserskim debiucie Aarona Kaufmana, producenta „Sin City 2: Damulka warta grzechu” i „Maczeta zabija”.Czwórka przyjaciół zamierza spędzić szampański weekend na tropikalnej wyspie. Zabawa nabiera tempa, gdy poznają tajemniczego właściciela klubu nocnego (Pierce Brosnan), który proponuje im spróbowanie nowego, eksperymentalnego narkotyku. Pobudzeni, pozbawieni zahamowań, wcielają w życie swoje najdziksze fantazje. Gdy zafascynowani tajemniczą substancją decydują się powtórzyć dawkę, narkotyk wywołuje nieoczekiwane efekty uboczne, a pobyt na rajskiej wyspie zamienia się w koszmar rodem z domu wariatów.;;;;;urge;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
20;1;Wróg numer jeden (DVD) + Książka;Thriller ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_20;demo_20;;;;;;;;;;;;114;1;;0;both;;;;;Był najbardziej poszukiwanym człowiekiem na świecie. Polowały na niego setki agentów wielu tajnych służb. Wydawało się, że jest nieuchwytny. Osama bin Laden. Jednak dzięki uporowi i zdecydowaniu młodej agentki CIA niemożliwe stało się faktem. Grupa najlepiej wyszkolonych amerykańskich marines wytropiła kryjówkę najgroźniejszego terrorysty wszech czasów. W końcu padł rozkaz: zlikwidować…;;;;;wrog-numer-jeden-dvd-ksiazka;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
21;1;Latynoski ogier (DVD) + Książka;Komedia ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_21;demo_21;;;;;;;;;;;;827;1;;0;both;;;;;25 lat temu Maximo (Eugenio Derbez) był playboyem, któremu nie oparła się żadna. Z uwodzenia kobiet uczynił sposób na życie, by ostatecznie poślubić dużo starszą od siebie milionerkę. Żył przy niej jak król. Gdy jednak pewnego dnia odkrył, że ta nie była mu wierna, postanowił zacząć życie od nowa. Bez pieniędzy, pracy i dachu nad głową. Gdy udało mu się odnaleźć dawno niewidzianą siostrę (Salma Hayek), okazało się, że ta samotnie wychowuje syna. Maximo postanawia wprowadzić dorastającego chłopca w tajniki uwodzenia. Czy rola mentora pomoże mu ponownie uwierzyć w siebie i odzyskać dawny urok?;;;;;latynoski-ogier-dvd-ksiazka;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
22;1;Suburbicon (DVD) + Książka;Komedia, Kryminalny ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_22;demo_22;;;;;;;;;;;;273;1;;0;both;;;;;"Matt Damon (Marsjanin), Julianne Moore (""Motyl Still Alice"") i Oscar Isaac (""Co jest grane, Davis?"") w komedii kryminalnej w reżyserii Georga Clooneya, według scenariusza braci Coen.Suburbicon to idealne amerykańskie miasteczko, istna reklama statecznego życia i dobrobytu czyli American Dream w czystej postaci. Jednak nie dla wszystkich. Życie rodziny Lodge'ów obraca w gruzy napad z bronią w ręku, w którym ginie seniorka rodu, ukochana mama nastoletniego Nicky'ego Lodge. Pogrążony w rozpaczy chłopak postanawia pomścić swą ukochaną rodzicielkę.W poszukiwaniu sprawców rozpoczyna śledztwo na własną rękę, w trakcie którego odkryje mroczne rodzinne sekrety, układy, machinacje i animozje, które nie były bez związku ze śmiercią jego matki.";;;;;suburbicon-dvd-ksiazka;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
23;1;Nice Guys. Równi goście (książka + płyta DVD);Akcja, Komedia, Thriller ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_23;demo_23;;;;;;;;;;;;480;1;;0;both;;;;;Nagrodzony Oscarem® Russell Crowe („Gladiator”) oraz nominowany do Oscara® Ryan Gosling („Szkolny chwyt”) w najnowszym filmie twórcy „Zabójczej broni” oraz „Iron Mana 3”. Pełna akcji komedia o dwóch facetach, których dzieli wszystko oprócz śledztwa w sprawie zaginionej dziewczyny, jakie przyszło im wspólnie prowadzić.Prywatny detektyw Holland March (Ryan Gosling) i gruboskórny mięśniak do wynajęcia Jackson Healy (Russell Crowe) nie pałają do siebie sympatią. Zostają jednak wynajęci do rozwikłania tej samej sprawy zaginionej dziewczyny. Zapewne każdy prowadziłby ją na własną rękę, gdyby obaj nie stali się celem wynajętych morderców. Niechętnie muszą połączyć siły, by rozwiązać sprawę i ocalić życie. Tym bardziej, że wkrótce odkryją, że wdepnęli w większe bagno niż sądzili. Zaginięcie dziewczyny jest jedynie szczytem góry lodowej w sprawie, której nie tknąłby nikt komu życie miłe. Historia staje się więc coraz bardziej dramatyczna, ale mimo zagrożenia Holland i Jackson skupiają się głównie na dogryzaniu sobie nawzajem.;;;;;nice-guys-rowni-goscie-ksiazka-plyta-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
24;1;My Big Fat Greek Wedding 2;Komedia ;4.99;;-15.01;1;;0;2020-11-02;2020-11-07;demo_24;demo_24;;;;;;;;;;;;792;1;;0;both;;;;;Po kilkunastu latach od wesela Toula i Ian wciąż bezskutecznie próbują uwolnić się od wszędobylskich greckich krewnych. Gdy czasem zdobędą trochę wolności, zaraz nadarza się okazja, by kochający się rodzinny krąg ponownie zacisnął się jak pętla na szyi. Ich córka Paris wybiera się na studia, a rodzina oczywiście musi zatwierdzić wybór uczelni. Zanosi się na trzęsienie ziemi, bo dziewczyna pragnie opuścić rodzinne Chicago, a co gorsze jej nowy chłopak nawet nie udaje Greka. Jednak prawdziwe tsunami dopiero przed nami. Otóż rodzice Tulli - Maria i Gus - odkrywają, że ich małżeństwo jest nieważne, więc formalnie wciąż są do wzięcia, a to dopiero początek.;;;;;my-big-fat-greek-wedding-2;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
25;1;Zenek (DVD);Biograficzny, Muzyczny ;23.99;;3.9899999999999984;1;;0;2020-11-02;2020-11-07;demo_25;demo_25;;;;;;;;;;;;407;1;;0;both;;;;;„Zenek” to oparta na biografii Zenona Martyniuka historia chłopaka z podlaskiej wsi, który realizuje swoje wielkie marzenie: śpiewa i bawi ludzi. Film ukazuje drogę Zenona do wielkiego sukcesu, który osiągnął dzięki uporowi, ciężkiej pracy i wielu wyrzeczeniom. Król disco polo jest tylko jeden!;;;;;zenek-dvd;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
26;1;Moja Gwiazda: Teen Spirit (DVD) + Książka;Dramat, Muzyczny ;9.99;;-10.01;1;;0;2020-11-02;2020-11-07;demo_26;demo_26;;;;;;;;;;;;713;1;;0;both;;;;;Elle Fanning („Czarownica”, „Mary Shelley”) i  Agnieszka Grochowska („Obce niebo”, „W ciemności”) w porywającej opowieści o narodzinach polskiej gwiazdy na brytyjskiej scenie.W Wielkiej Brytanii mieszka ponad milion Polaków, którzy próbują spełnić swoje marzenie o lepszym życiu. Jedną z nich jest nastoletnia Violet Waleńska, która śni o karierze w brytyjskim showbiznesie. Jej kochająca, ale mocno stąpająca po ziemi matka widzi ją raczej w szkole, która da jej spokojną, pewną pracę. Gdy w ich miasteczku odbywają się eliminacje do słynnego talent show „Teen Spirit”, Violet bez wiedzy matki bierze w nich udział i ku swemu zdumieniu przechodzi do finałowego etapu. Skromna, niedoświadczona, ale utalentowana nastolatka z prowincji trafia nagle w tryby wielkiej rozrywkowej machiny. Tu wszystko dzieje się szybko, każdy myśli tylko o sobie, a o sukcesie nie zawsze decyduje talent. W takiej sytuacji to właśnie wsparcie najbliższych może okazać się kluczowe w drodze na życiowy szczyt. Los młodzieńczych marzeń Violet jest więc nie tylko w rękach jurorów, ale także jej matki.;;;;;moja-gwiazda-teen-spirit-dvd-ksiazka;Produkt dostępny;Zamówienie dozwolone;1;;;1;;;;Name: Value: Position;0;new;;;;;;;;;;;;;;x, y, z
