Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
46;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
47;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
47;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
49;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
49;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
5;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
5;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
50;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
50;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
51;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
51;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
52;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
52;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
53;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
53;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
54;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
54;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
56;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
56;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
57;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
57;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
58;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
58;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
59;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
59;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
6;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
6;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
60;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
60;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
62;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
62;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
64;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
64;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
7;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
7;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
8;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
8;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
9;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
9;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
